fitted,residual,leverage
1.1756734443190213,-0.8375116313679286,0.0962465539028104
1.2588341475053233,-0.05431586559451129,0.27828291542887484
1.5007903269084502,-0.23776538216579146,0.302219501599556
1.0189082149585729,-0.649644512510194,0.06602196951928162
1.4000840988650674,-0.6054637416830797,0.14772809223628913
0.9676841938067291,-0.8222431106673173,0.21385206668599022
1.5363511763278999,0.4453992973322407,0.2077898421553814
1.0405236223970666,-0.7331318341491242,0.11475956833547095
2.0671535330515085,2.3745916195541645,0.4272103694003649
1.4562513132547306,-0.9010402609495232,0.08502929045030684
1.0453871669797425,-0.15820835677000333,0.15514938238540033
1.4000840988650674,0.8122749118649883,0.14772809223628916
1.4016669325196542,0.9347302879922641,0.08399999330251755
0.6707181632363634,-0.6401155987414586,0.14584364938453015
1.4060711435022655,-1.25692754176278,0.10817809007341181
1.1994888574795748,-0.8580096939172641,0.0912894078575065
1.4060711435022655,-0.9585946752691694,0.10817809007341181
1.1225752158671376,0.6405960411146354,0.06979442091395004
0.9649407388859479,1.1438243892117104,0.06167160067290585
1.1522315307105708,0.5815317759228076,0.0559239389233731
1.1690425616427336,0.7485234534500911,0.033742092103113915
1.1226439906368681,0.342631641030136,0.07071854502562071
1.2169919091507606,0.6706171658928695,0.04745406085940958
1.2771991521970238,0.1809246805856224,0.08100488409445541
1.2731044276782002,0.535496929091009,0.07875335839661313
1.2867191220227472,0.0835405308343733,0.08532779497288087
0.5304400272504,2.6761681508830977,0.18250172508032164
1.7198908897193435,-1.3930854941622628,0.39134401059214596
1.2798945811580411,-0.4222106989317759,0.08022413824757338
0.5351323048034003,-0.35812281536784474,0.262625781800102
1.319538084988762,0.16855715310647623,0.08312783035359719
1.2115322764589955,-0.10095244910653989,0.04570958036864625
0.9910964781918135,0.8495017449362277,0.08603863511398012
1.189931715115007,-1.1868048634325263,0.11589698548159999
0.9501994666782853,-0.6356850063348023,0.09354178448205822
1.3800069164751703,0.376371310491292,0.14334566997055517
1.1079198136684427,-0.7554475504098341,0.1517462875197054
